stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\franc\source\repos\Dravok\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.00561] added dtor for sub_bitmap 000001F272DC5BF0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00563] added dtor for sub_bitmap 000001F272DC5810, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00565] added dtor for sub_bitmap 000001F272DC5620, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00567] added dtor for sub_bitmap 000001F272DC6D60, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00569] added dtor for sub_bitmap 000001F272DC6F50, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00570] added dtor for sub_bitmap 000001F272DC6B70, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00572] added dtor for sub_bitmap 000001F272DC5FD0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00575] added dtor for sub_bitmap 000001F272DC5A00, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00577] added dtor for sub_bitmap 000001F272DC6790, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00579] added dtor for sub_bitmap 000001F272DC6980, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00580] added dtor for sub_bitmap 000001F272DC63B0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00582] added dtor for sub_bitmap 000001F272DC5DE0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00584] added dtor for sub_bitmap 000001F272DC65A0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00589] added dtor for sub_bitmap 000001F272DC7780, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00591] added dtor for sub_bitmap 000001F272DC8EC0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00593] added dtor for sub_bitmap 000001F272DC8320, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00595] added dtor for sub_bitmap 000001F272DC8CD0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00597] added dtor for sub_bitmap 000001F272DC8130, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00599] added dtor for sub_bitmap 000001F272DC9490, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00601] added dtor for sub_bitmap 000001F272DC7970, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00603] added dtor for sub_bitmap 000001F272DC8AE0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00605] added dtor for sub_bitmap 000001F272DC8510, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00608] added dtor for sub_bitmap 000001F272DC7D50, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00610] added dtor for sub_bitmap 000001F272DC90B0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00612] added dtor for sub_bitmap 000001F272DC92A0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00614] added dtor for sub_bitmap 000001F272DC7B60, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00615] added dtor for sub_bitmap 000001F272DC7F40, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00617] added dtor for sub_bitmap 000001F272DC8700, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00619] added dtor for sub_bitmap 000001F272DC88F0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00622] added dtor for sub_bitmap 000001F272DCC350, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00624] added dtor for sub_bitmap 000001F272DCCEF0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00626] added dtor for sub_bitmap 000001F272DCCB10, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00628] added dtor for sub_bitmap 000001F272DCB9A0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00629] added dtor for sub_bitmap 000001F272DCD4C0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00631] added dtor for sub_bitmap 000001F272DCBF70, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00633] added dtor for sub_bitmap 000001F272DCC920, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00635] added dtor for sub_bitmap 000001F272DCCD00, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00637] added dtor for sub_bitmap 000001F272DCD2D0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00639] added dtor for sub_bitmap 000001F272DCD0E0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00641] added dtor for sub_bitmap 000001F272DCB7B0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00647] added dtor for sub_bitmap 000001F272DCC540, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00649] added dtor for sub_bitmap 000001F272DCBB90, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00651] added dtor for sub_bitmap 000001F272DCBD80, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00653] added dtor for sub_bitmap 000001F272DCC160, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00655] added dtor for sub_bitmap 000001F272DCC730, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00657] added dtor for sub_bitmap 000001F272DCDBA0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00659] added dtor for sub_bitmap 000001F272DCE930, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00661] added dtor for sub_bitmap 000001F272DCE360, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00663] added dtor for sub_bitmap 000001F272DCEF00, func 00007FFF473D12CB
